"World Rank","Institution","Location","National Rank","Quality of Education","Publications","Influence","Citations","Broad Impact","Score"
"1","Harvard University","USA","1","1","1","1","1","1","100.00"
"2","Stanford University","USA","2","9","5","3","3","4","98.66"
"3","Massachusetts Institute of Technology","USA","3","3","15","2","2","2","97.54"
"4","University of Cambridge","United Kingdom","1","2","11","6","12","13","96.81"
"5","University of Oxford","United Kingdom","2","7","7","12","7","9","96.46"
"6","Columbia University","USA","4","13","13","13","11","12","96.14"
"7","University of California, Berkeley","USA","5","5","10","4","4","7","92.25"
"8","University of Chicago","USA","6","11","17","16","12","22","90.70"
"9","Princeton University","USA","7","4","72","25","24","33","89.42"
"10","Cornell University","USA","8","12","24","15","25","22","86.79"
"11","Yale University","USA","9","10","18","8","35","20","86.61"
"12","California Institute of Technology","USA","10","6","53","9","19","25","84.40"
"13","University of Tokyo","Japan","1","16","14","19","31","29","78.23"
"14","University of Pennsylvania","USA","11","20","8","18","14","9","77.60"
"15","University of California, Los Angeles","USA","12","28","6","14","8","6","76.91"
"16","Johns Hopkins University","USA","13","18","4","11","5","3","71.60"
"17","Kyoto University","Japan","2","22","30","42","88","60","68.60"
"18","New York University","USA","14","32","47","29","46","32","68.39"
"19","University of Michigan, Ann Arbor","USA","15","24","3","20","6","14","68.36"
"20","Swiss Federal Institute of Technology in Zurich","Switzerland","1","17","44","27","39","79","66.93"
"21","University of California, San Diego","USA","16","36","16","5","15","15","66.59"
"22","Northwestern University","USA","17","163","27","34","27","26","66.56"
"23","Hebrew University of Jerusalem","Israel","1","15","120","97","368","143","65.71"
"24","Seoul National University","South Korea","1","367+","36","163","146","112","64.82"
"25","University of Wisconsinâ€“Madison","USA","18","29","21","24","22","27","64.51"
"26","University of California, San Francisco","USA","19","367+","22","7","15","11","63.69"
"27","University College London","United Kingdom","3","21","12","22","15","18","62.27"
"28","Duke University","USA","20","74","19","23","15","16","61.55"
"29","Rockefeller University","USA","21","49","372","28","115","70","61.28"
"30","University of Texas at Austin","USA","22","75","48","50","26","71","61.14"
"31","University of Washington - Seattle","USA","23","48","9","10","10","5","60.61"
"32","University of Toronto","Canada","1","70","2","17","9","8","60.04"
"33","University of Illinois at Urbanaâ€“Champaign","USA","24","33","40","48","42","74","59.94"
"34","Keio University","Japan","3","284","309","246","368","270","59.84"
"35","Imperial College London","United Kingdom","4","90","19","26","23","19","59.61"
"36","Ã‰cole Polytechnique","France","1","98","327","314","234","295","59.20"
"37","Ã‰cole normale supÃ©rieure - Paris","France","2","8","379","157","645","295","58.80"
"38","Waseda University","Japan","4","288","406","389","368","388","58.17"
"39","Weizmann Institute of Science","Israel","2","19","246","63","234","143","57.17"
"40","University of North Carolina at Chapel Hill","USA","25","124","32","32","19","21","57.09"
